Gene.symbol,Gene.ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
MGAT5B,146664,0.052176252,2.804152298,3.267384924,0.016110449,0.036202216,-4.515397974
GJA4,2701,0.052163282,2.907842337,3.558385223,0.011153824,0.027794462,-4.114083278
INSM1,3642,0.052161639,3.011252806,6.189009289,7.00E-04,0.005504009,-1.019985438
VWC2,375567,0.052158719,3.057395525,3.019714797,0.02224726,0.045804946,-4.864514391
LCE1F,353137,0.052143371,2.929890065,3.66666313,0.009759568,0.025435997,-3.967516184
LRP5L,91355,0.052142346,2.83211318,6.199040497,6.94E-04,0.005478445,-1.009948417
MYL6B,140465,0.05207414,2.870848276,4.68315707,0.003038275,0.012007882,-2.672497077
DRD4,1815,0.052050123,2.99403113,4.833489573,0.00258971,0.010874324,-2.493668663
MUC21,394263,0.05204522,2.793259313,4.170767968,0.005366475,0.017228317,-3.306610531
LCE1E,353135,0.052044889,3.05054116,3.337443757,0.014728534,0.033977886,-4.417841739
PHLDA1,22822,0.052043003,3.538974285,11.82638075,1.64E-05,7.06E-04,3.236181261
CLEC4E,26253,0.05198224,3.318697108,6.389014595,5.88E-04,0.005053367,-0.822081027
OXTR,5021,0.051950979,2.860778812,8.809282187,9.43E-05,0.002035751,1.253393897
FAM174B,400451,0.051864672,2.846439822,6.860686567,3.95E-04,0.004136263,-0.373164335
FAM53C,51307,0.051851328,3.195580452,9.47986919,6.13E-05,0.001613775,1.742276114
CELF3,11189,0.051851132,2.905418505,2.855897359,0.027670459,0.054014098,-5.098518513
SPRR1A,6698,0.051819608,2.854869151,4.738341856,0.002864181,0.011531483,-2.60647532
IRX2,153572,0.051754917,2.920886371,3.036584602,0.021757525,0.045051756,-4.840543214
GJD4,219770,0.051669037,2.874621783,5.386674619,0.00147709,0.008005903,-1.862970153
KISS1,3814,0.051649882,2.84861091,4.794793957,0.002697599,0.011123212,-2.539389789
CPLX1,10815,0.051625633,2.846924554,3.968551106,0.006789842,0.019985411,-3.567380288
CEMP1,752014,0.051590565,2.819396534,4.609412872,0.003289763,0.012607884,-2.761408372
MESP1,55897,0.051543099,3.068961979,4.350400088,0.00437693,0.015126274,-3.079949207
FAM155B,27112,0.051498633,2.879801804,4.901242741,0.002412293,0.010404791,-2.414127688
LOC105375355///UPK3B,105375355///80761,0.051468753,2.8263336,4.257096844,0.004862806,0.01617376,-3.197092548
SEMA3G,56920,0.05146309,2.811432341,4.097286752,0.005841234,0.01820702,-3.400684173
ENTPD2,954,0.05144643,2.833162144,4.220848154,0.005067575,0.016618126,-3.242945842
SIX5,147912,0.051445128,2.952653181,6.251157295,6.63E-04,0.0053455,-0.957991858
GCH1,2643,0.051432828,3.383394611,7.554526663,2.29E-04,0.003193668,0.245229759
ZFR2,23217,0.051333516,2.891826802,4.45112833,0.003912378,0.014103518,-2.954909984
MASTL,84930,0.051261319,3.352941846,6.654507888,4.69E-04,0.00450132,-0.566402722
OBP2B,29989,0.051236332,2.830102492,3.735257185,0.008976257,0.024101386,-3.875484218
WNT10B,7480,0.051180015,2.886148639,3.423203467,0.013210379,0.03142418,-4.299213775
SFPQ,6421,0.051125694,3.478928497,12.14850437,1.40E-05,6.16E-04,3.419144175
CPEB2,132864,0.05109903,3.352476563,11.58174041,1.86E-05,7.57E-04,3.094027307
PLEKHF2,79666,0.051070882,3.248882002,5.243457243,0.001701626,0.00859917,-2.022212909
SLC5A10,125206,0.051052891,2.796616491,4.51675946,0.003639463,0.013460249,-2.87423445
OLR1,4973,0.051025632,3.61352069,9.694900853,5.37E-05,0.001510568,1.892534273
H3F3C,440093,0.050998426,3.469871002,8.41832531,1.23E-04,0.002316121,0.953131442
NCR2,9436,0.050962498,2.862227798,3.619394615,0.010343122,0.026388302,-4.031307429
NBN,4683,0.05095912,3.518156167,9.581441832,5.76E-05,0.00156908,1.813629405
IGLL1,3543,0.050952701,2.934773937,3.78991882,0.008401649,0.023002267,-3.802608844
GNG13,51764,0.050915633,2.85797307,6.317067569,6.25E-04,0.005203242,-0.892738346
HIST3H3,8290,0.050911844,2.836320136,3.163385416,0.018428994,0.039785142,-4.661229681
DANT2,642776,0.050870756,2.977236697,4.540059226,0.003547758,0.013255213,-2.845744509
FNDC11,79025,0.050848278,2.916381836,4.268815473,0.004798595,0.016055479,-3.182309898
CCDC177,56936,0.050848242,3.166170159,5.012595657,0.002149645,0.009769746,-2.284811369
CHST14,113189,0.050816756,2.919937471,4.372336726,0.004270731,0.014884702,-3.052592009
GRM5,2915,0.05077867,2.859843988,6.701174945,4.51E-04,0.00443652,-0.522264927
ZNF316,100131017,0.050776761,3.197323978,6.342851885,6.12E-04,0.005141225,-0.867347854
NFIX,4784,0.050742306,2.964177299,4.192325052,0.005235469,0.016941625,-3.279161203
SNORD43,26807,0.050734685,2.841229236,6.550782479,5.12E-04,0.004697634,-0.665359304
HOXB1,3211,0.050713079,2.779426091,2.709877987,0.033706873,0.062358457,-5.308636867
REXO1L1P,254958,0.050694358,3.029219081,3.680964119,0.009590236,0.025144504,-3.948275725
REXO1L1P,254958,0.050694358,3.029219081,3.680964119,0.009590236,0.025144504,-3.948275725
REXO1L1P,254958,0.050694358,3.029219081,3.680964119,0.009590236,0.025144504,-3.948275725
REXO1L1P,254958,0.050694358,3.029219081,3.680964119,0.009590236,0.025144504,-3.948275725
REXO1L1P,254958,0.050694358,3.029219081,3.680964119,0.009590236,0.025144504,-3.948275725
TGIF1,7050,0.050688212,3.449539416,12.3607026,1.26E-05,5.71E-04,3.537148406
ELN,2006,0.050663077,3.024682291,5.518661436,0.001299461,0.007435963,-1.718644135
TMEM229B,161145,0.050634131,2.827220127,2.245172882,0.064104555,0.103248663,-5.980359125
KRTCAP3,200634,0.050620853,2.959290523,4.774859412,0.002755146,0.011256677,-2.563027108
CXCL9,4283,0.050558563,3.315342842,4.897579522,0.002421527,0.0104259,-2.418411581
PTGER4,5734,0.050553346,3.382170765,11.32525246,2.13E-05,8.31E-04,2.941901641
LOC439951,439951,0.05054341,2.962968453,4.329638772,0.004480164,0.015381864,-3.105905364
