Gene.symbol,Gene.ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
IRX6,79190,0.047171329,2.853731712,3.292303772,0.015603364,0.035370009,-4.480633835
PHOX2A,401,0.047150915,2.866023902,3.645630774,0.01001462,0.025852266,-3.995863279
TFF1,7031,0.047123734,2.843751337,4.771655356,0.002764524,0.011273404,-2.566831611
TNS2,23371,0.047078366,2.943073087,7.51964394,2.35E-04,0.003225432,0.21525534
CACNG7,59284,0.047078219,2.809521695,4.238110419,0.004968885,0.016416164,-3.221085797
KRTAP12-4,386684,0.047039885,2.964158287,3.267604135,0.016105911,0.036196855,-4.515091848
PABPC4,8761,0.047034959,3.417790213,8.405280133,1.24E-04,0.002329233,0.942906819
ELANE,1991,0.047025004,3.013114068,3.990704883,0.006615078,0.019632709,-3.53852398
TH,7054,0.046972004,2.912884208,5.376976801,0.001491189,0.008035693,-1.873665949
SCT,6343,0.046967418,2.926643261,4.7918024,0.002706149,0.011140665,-2.542933393
ZBTB12,221527,0.046965726,2.934284715,2.736602581,0.032504951,0.060763369,-5.270095367
ZBTB12,221527,0.046965726,2.934284715,2.736602581,0.032504951,0.060763369,-5.270095367
N4BP3,23138,0.046962795,2.829910195,5.043910523,0.002081703,0.009606218,-2.248758431
LOC388022,388022,0.046893172,3.168713844,3.626569105,0.010252127,0.026243992,-4.021605773
LBX1,10660,0.046837415,2.989253218,3.389199013,0.01379084,0.032419657,-4.346144083
LOC100127955,100127955,0.046806068,2.847287089,5.385085174,0.00147939,0.008013205,-1.864722301
FAM187B,148109,0.046772997,2.850038849,3.19050034,0.017791447,0.038777237,-4.62309571
MAPK8IP2,23542,0.046767147,2.870725731,5.635485663,0.00116222,0.007044126,-1.592807144
KNDC1,85442,0.046764234,2.830772511,3.806376798,0.008236695,0.022665067,-3.780748296
BRWD1,54014,-0.047975196,3.102139518,-4.176495434,0.005331315,0.017146795,-3.299310965
KCTD6,200845,-0.048026951,3.097924263,-6.626390149,4.80E-04,0.004555774,-0.593110995
SMC3,9126,-0.048037165,3.271707461,-7.870848686,1.81E-04,0.00289357,0.511967643
TMEM186,25880,-0.048056426,2.869633013,-3.903728542,0.007331334,0.02107038,-3.652217864
ZNF18,7566,-0.048066624,2.943851732,-8.199109686,1.43E-04,0.002542655,0.779486333
PMS2P9///PMS2P7///PMS2P6///DTX2P1-UPK3BP1-PMS2P11///LOC441259///PMS2///PMS2P3///PMS2P5///PMS2P2///PMS2P1///PMS2P6///PMS2P3///PMS2P2///PMS2P1,100132832///100101440///729453///441263///441259///5395///5387///5383///5380///5379///729453///5387///5380///5379,-0.048071721,3.24671683,-9.362879547,6.60E-05,0.001688601,1.659240393
CCDC125,202243,-0.048084505,2.999360554,-5.45954711,0.001375842,0.00768506,-1.782999663
RNF113A,7737,-0.048095093,2.79341529,-5.77603086,0.00101839,0.006601409,-1.443749716
USP48,84196,-0.048109736,3.03470173,-8.059053733,1.58E-04,0.002687931,0.666469495
WDR70,55100,-0.048123011,2.956811525,-4.632393895,0.003208969,0.012414266,-2.733616502
ZADH2,284273,-0.048149939,3.202009853,-10.56376703,3.23E-05,0.001070525,2.470428332
ZFP1,162239,-0.048150378,2.995985365,-3.509491635,0.011854021,0.029046685,-4.180772985
MCEE,84693,-0.048163598,2.791558677,-8.426482816,1.22E-04,0.002316019,0.959518278
TCHP,84260,-0.048183404,3.005544689,-7.310931494,2.76E-04,0.003470917,0.033509757
SOCS4,122809,-0.048192394,3.104369145,-7.269370552,2.85E-04,0.003511507,-0.003180842
TXNDC15,79770,-0.048207507,3.234574866,-7.175986119,3.07E-04,0.003678598,-0.086239676
BICD1,636,-0.048216015,3.005982453,-3.464777911,0.012536758,0.030258471,-4.242030594
MTSS1,9788,-0.048221791,3.046593912,-5.940513781,8.75E-04,0.006128013,-1.272468361
USP21,27005,-0.048222275,3.062910512,-7.974083137,1.68E-04,0.002801497,0.597093777
UCHL5,51377,-0.048238027,3.152589547,-5.398974385,0.001459424,0.007960064,-1.849422737
WDR89,112840,-0.048239084,3.012288975,-7.748280416,1.98E-04,0.003014412,0.409682406
PPWD1,23398,-0.048244439,3.180334037,-7.092790152,3.28E-04,0.003784457,-0.160966094
GTF2H2C_2///GTF2H2C///GTF2H2B///GTF2H2,730394///728340///653238///2966,-0.048256127,3.041364842,-5.78167506,0.001013051,0.006578768,-1.437816128
ZNF17,7565,-0.04827761,2.868330172,-4.915439002,0.002376877,0.010325307,-2.397544042
HARBI1,283254,-0.048293507,2.80644488,-4.499228254,0.003710215,0.013626005,-2.895722895
SYP,6855,-0.048310303,2.979411954,-5.51185552,0.001308005,0.007462331,-1.726030041
DDX27,55661,-0.048328521,3.076144285,-6.298114159,6.36E-04,0.005243987,-0.911451233
THUMPD3,25917,-0.048378977,3.258128733,-7.691345856,2.07E-04,0.003067854,0.361712758
GCLM,2730,-0.04839271,3.201045532,-7.109286678,3.24E-04,0.003764516,-0.146093795
MTFR1L,56181,-0.048401062,3.26639599,-9.161357424,7.50E-05,0.001831164,1.51401632
CSF2RA,1438,-0.048419171,3.31640745,-10.24250998,3.88E-05,0.00121966,2.261998992
CSF2RA,1438,-0.048419171,3.31640745,-10.24250998,3.88E-05,0.00121966,2.261998992
SKA2,348235,-0.048435945,3.19472762,-7.388780076,2.60E-04,0.003387218,0.101785673
CD300E,342510,-0.048443831,3.059988391,-5.362977566,0.001511811,0.008077685,-1.88912802
PRMT9,90826,-0.048472253,3.142414301,-6.631542079,4.78E-04,0.004545212,-0.588210851
TPRG1,285386,-0.04847838,2.957363198,-5.211395244,0.00175703,0.008719424,-2.05824356
C3AR1,719,-0.048519053,3.437192542,-8.987028424,8.39E-05,0.001914641,1.386090909
TRIM16L///TRIM16,147166///10626,-0.048546643,3.304084962,-9.742498903,5.22E-05,0.001472393,1.925388953
ANAPC4,29945,-0.048569888,3.145232846,-6.768381698,4.26E-04,0.004322249,-0.459113779
R3HDM1,23518,-0.048581723,3.163512811,-5.548525672,0.001262707,0.007328331,-1.686306706
FAM35A,54537,-0.048633952,3.166316809,-4.14584535,0.005522506,0.017547772,-3.338429573
ARID4A,5926,-0.048643384,3.15298654,-5.842491471,9.57E-04,0.006398374,-1.374135795
FSD1L,83856,-0.048655572,2.842880978,-4.852997686,0.002537165,0.010715235,-2.470699621
TATDN2,9797,-0.048663759,3.142274434,-8.520830188,1.15E-04,0.002254576,1.03300336
SP140,11262,-0.048668924,3.080281427,-3.365240923,0.01421654,0.033119396,-4.379293783
GINS3,64785,-0.048676512,2.921127683,-5.963203079,8.57E-04,0.006052373,-1.249104466
ZNF611,81856,-0.048708414,3.067891882,-3.863063082,0.007695384,0.021730348,-3.705744551
RPAP3,79657,-0.048708927,3.087725376,-4.312969281,0.004565021,0.015576507,-3.126791396
SNX14,57231,-0.048711255,3.332908093,-7.619987069,2.18E-04,0.00314822,0.301174789
CEP85,64793,-0.048731729,2.958619853,-5.389393943,0.001473164,0.007989774,-1.859973249
BAG5,9529,-0.048742128,3.111656749,-7.620960017,2.18E-04,0.00314822,0.30200333
DDX28,55794,-0.048748219,2.847743523,-9.985639453,4.51E-05,0.001359132,2.090986406
NUP37,79023,-0.048807545,3.062641043,-5.83610824,9.63E-04,0.006406623,-1.380797833
SULF2,55959,-0.048809615,3.000135343,-4.486757903,0.003761481,0.013745568,-2.911035343
CSE1L,1434,-0.048825453,3.388209311,-8.286753222,1.35E-04,0.002462194,0.849379925
ZBTB24,9841,-0.048827228,3.075897905,-3.794541222,0.008354954,0.022910663,-3.796465252
EIF2B2,8892,-0.048829499,3.206248678,-7.693131827,2.07E-04,0.003067854,0.363221959
ANAPC1P1///ANAPC1,100286979///64682,-0.048844189,3.107200859,-6.92107463,3.76E-04,0.004041997,-0.317419601
TCTEX1D2,255758,-0.048852897,3.196474219,-3.964658927,0.006821073,0.020035813,-3.572457297
VHL,7428,-0.048858663,3.189213918,-8.985923592,8.40E-05,0.001914641,1.385273224
CDYL2,124359,-0.04887121,3.039665034,-5.711046892,0.001082221,0.006796928,-1.512356179
PTK2,5747,-0.048875301,2.992782068,-5.040355522,0.002089293,0.009629188,-2.252844425
MPEG1,219972,-0.048882542,3.521903357,-7.071250467,3.34E-04,0.003801447,-0.180426336
TADA2A,6871,-0.0489253,2.890034104,-4.977511638,0.00222875,0.009950074,-2.325366851
EIF3E,3646,-0.048931015,3.245490092,-5.930794948,8.83E-04,0.006166588,-1.282495513
ITGB1BP1,9270,-0.0489619,3.421992468,-6.305446165,6.32E-04,0.005231457,-0.904207341
FECH,2235,-0.048963888,3.136652622,-9.118902067,7.71E-05,0.001848246,1.483060925
PHF21A,51317,-0.048979382,3.231551525,-8.804606164,9.46E-05,0.002035751,1.249871508
METTL3///METTL3,56339///56339,-0.049035659,3.151080935,-9.584690293,5.75E-05,0.00156908,1.81590019
WRN,7486,-0.049065548,3.074093686,-5.994872292,8.33E-04,0.005965584,-1.216599112
CCNA2,890,-0.049088254,3.09193671,-6.272102536,6.51E-04,0.005301912,-0.937200574
CENPJ,55835,-0.049127033,2.85338225,-4.4644579,0.003855145,0.01397511,-2.938474155
KNSTRN,90417,-0.049155376,3.097430968,-4.733539558,0.002878877,0.011558959,-2.612203279
C11orf80,79703,-0.049158612,2.818587106,-3.257741657,0.016311478,0.036536755,-4.528870129
SUFU,51684,-0.049174065,3.101314921,-6.124613512,7.41E-04,0.005648073,-1.084702345
TMEM57,55219,-0.049182537,3.20179872,-4.952353231,0.002287496,0.010086461,-2.354555245
CROT,54677,-0.049187089,2.903770358,-3.882402914,0.00751981,0.021418018,-3.680258912
TIAL1,7073,-0.049218782,3.059272241,-5.824234345,9.74E-04,0.006430668,-1.393203922
C16orf52,730094,-0.049247333,2.870509191,-3.364074433,0.01423763,0.033159339,-4.380909568
VTI1B,10490,-0.049253665,3.359736663,-8.883168637,8.98E-05,0.00197802,1.308836069
LINC00680-GUSBP4///LOC100133050///GUSBP9///GUSBP1///GUSBP3///LOC653080///GUSBP2///GUSBP11///SMA5///SMA4///GUSB///GUSBP3///SMA5///SMA4,106660613///100133050///100049076///728411///653188///653080///387036///91316///11042///11039///2990///653188///11042///11039,-0.049263957,3.070514912,-7.377212195,2.62E-04,0.003397256,0.091677113
NGDN,25983,-0.049266961,3.169301928,-5.623052123,0.001176016,0.007091951,-1.606115641
FBXO4,26272,-0.049301121,2.875703718,-4.28204516,0.004727239,0.015897756,-3.165645182
HPS4,89781,-0.049322003,2.992737496,-9.266683918,7.01E-05,0.001768456,1.590268133
RAB7A,7879,-0.049335801,3.206605395,-4.69601888,0.002996661,0.011910842,-2.657070345
MOSPD1,56180,-0.049353258,3.308745126,-4.082725417,0.005940762,0.018394223,-3.419419199
MIOS,54468,-0.049378822,3.203070427,-6.574760952,5.01E-04,0.004634158,-0.642377933
PDE6B,5158,-0.04940331,2.831250451,-6.723192475,4.43E-04,0.004410185,-0.501522555
ZNF626,199777,-0.049408187,3.05663017,-4.334465237,0.004455924,0.015322963,-3.09986562
ABCC5,10057,-0.049414882,2.838972144,-4.947849563,0.002298196,0.010112711,-2.359789735
NFE2L3,9603,-0.049418336,3.133228342,-7.614716706,2.19E-04,0.003152122,0.296685154
CBR4,84869,-0.049419522,2.95777129,-6.062912794,7.83E-04,0.005803675,-1.147174978
MNDA,4332,-0.049435571,3.182835949,-5.541457398,0.001271298,0.007352714,-1.693949789
ZC3H8,84524,-0.04944853,3.017673789,-6.205796216,6.90E-04,0.005461717,-1.003195467
PLGRKT,55848,-0.04948231,3.135962929,-5.587276205,0.00121676,0.00720077,-1.644520731
CDC23,8697,-0.049501954,3.230672897,-7.903782151,1.77E-04,0.002881856,0.539225105
MRPS36,92259,-0.049508548,2.807086178,-3.325058521,0.014963111,0.034358752,-4.435046563
GCFC2,6936,-0.049539103,2.968349724,-3.886158923,0.007486228,0.021351307,-3.67531546
C11orf54,28970,-0.049548726,3.371787027,-8.940605307,8.65E-05,0.001947201,1.351656898
SLC15A5,729025,-0.049559257,2.816873137,-3.746917316,0.008850135,0.023868675,-3.859904114
TANGO2,128989,-0.049584544,3.158941969,-5.640275053,0.001156955,0.007029953,-1.587686045
GVINP1,387751,-0.049591325,2.887395263,-4.362748853,0.004316789,0.014989297,-3.064540412
ETNK2,55224,-0.049608081,2.902824276,-5.183818935,0.001806316,0.008859275,-2.089345762
SLC35E2,9906,-0.049623788,3.027550778,-8.343086975,1.29E-04,0.002391699,0.893973135
CCNL2,81669,-0.049625517,3.006978512,-6.62541436,4.80E-04,0.004555774,-0.594039422
ZFAND4,93550,-0.049637,2.802407065,-5.349376037,0.001532157,0.008131361,-1.904176009
ARMC7,79637,-0.049642092,2.939403785,-5.765082685,0.001028839,0.006627461,-1.455270693
PPAT,5471,-0.049663921,2.916282844,-4.658139376,0.00312109,0.01220914,-2.70257216
NT5DC1,221294,-0.049671121,3.030326653,-6.824955666,4.07E-04,0.004201544,-0.406328044
FLVCR1,28982,-0.049680893,3.122148957,-9.385147255,6.51E-05,0.001677923,1.675116405
MSTO2P///MSTO1,100129405///55154,-0.049683431,2.957647734,-4.699346531,0.002985999,0.011879698,-2.653082967
ZNF616,90317,-0.049697754,2.823664193,-4.461347464,0.003868416,0.014002323,-2.942307117
RFWD3,55159,-0.049730361,3.270918125,-9.392981709,6.48E-05,0.001674749,1.680694083
TBC1D2,55357,-0.049737065,3.436590263,-8.294593774,1.34E-04,0.002455001,0.855601882
WDR61,80349,-0.049747609,3.004087264,-7.607209868,2.20E-04,0.003152122,0.290285938
ZBTB44,29068,-0.049778714,3.164385279,-5.147725331,0.001873201,0.009043162,-2.130212072
MAP3K7CL,56911,-0.049814559,2.84794472,-7.380175834,2.62E-04,0.003397256,0.094268102
CORO1A,11151,-0.049860792,3.312022978,-7.419475432,2.54E-04,0.003349792,0.128546738
DCUN1D5,84259,-0.049866235,3.080656262,-4.568377123,0.00343977,0.012972826,-2.811224795
NKRF,55922,-0.049892328,2.990434898,-5.1855643,0.001803151,0.008848913,-2.087374145
ADSL,158,-0.049949642,3.131622371,-11.6080388,1.84E-05,7.57E-04,3.109444624
FBXO22,26263,-0.049981297,3.067956029,-7.6139429,2.19E-04,0.003152122,0.296025762
MNAT1,4331,-0.050017487,2.952391146,-4.570443437,0.003432036,0.01296234,-2.808710501
SIGLEC9,27180,-0.05002609,3.291421074,-8.108149252,1.53E-04,0.002636131,0.706274241
EXOSC8,11340,-0.050031171,3.062876055,-5.399382698,0.001458842,0.007960064,-1.848973353
THAP12,5612,-0.050046287,3.30835136,-6.628318154,4.79E-04,0.00455238,-0.591276875
FLJ30064,644975,-0.050069516,2.783697539,-5.585777152,0.001218502,0.007208541,-1.646133574
SPATA5,166378,-0.050089835,2.958415723,-5.471509519,0.001359984,0.007624344,-1.769939436
OTUD6B,51633,-0.05011486,3.173329012,-6.990787029,3.56E-04,0.003917079,-0.25353876
METTL10,399818,-0.050126384,2.982123879,-8.447461747,1.20E-04,0.002304902,0.975919194
FASTKD1,79675,-0.050197985,3.192746387,-6.321481567,6.23E-04,0.005196006,-0.888386327
FHOD1,29109,-0.050265469,2.951139647,-4.555958487,0.003486667,0.013105598,-2.826348864
SPIN4,139886,-0.050338511,2.969670983,-4.418089781,0.004058377,0.014431789,-2.995759333
RNF214,257160,-0.050345073,2.888758469,-6.582180733,4.98E-04,0.004625878,-0.635279575
PLCL2,23228,-0.050367897,2.889410447,-3.992731383,0.006599342,0.019599848,-3.535887887
ANKRD49,54851,-0.050384558,3.140499882,-9.776380425,5.11E-05,0.001461704,1.948687649
CCDC82,79780,-0.050403665,3.055300553,-5.285537388,0.001631882,0.008393227,-1.975136534
PKI55,150967,-0.050406794,2.865997168,-6.407974309,5.78E-04,0.005004638,-0.803559831
SPATA12,353324,-0.050409498,2.824426333,-4.774930062,0.00275494,0.011256677,-2.562943234
USP47,55031,-0.050421049,3.122199037,-6.825534141,4.07E-04,0.004201544,-0.405790059
HINT3,135114,-0.050448818,3.154665578,-7.329987629,2.72E-04,0.003439389,0.050276683
HAX1,10456,-0.050515724,3.238536549,-6.0423449,7.98E-04,0.005844848,-1.168101974
SETMAR,6419,-0.050525897,3.138713125,-7.686695817,2.08E-04,0.003067854,0.357781973
N4BP2,55728,-0.050530654,3.046608402,-3.741188278,0.008911857,0.023958275,-3.867556831
CYP2R1,120227,-0.050534176,3.012995838,-4.594563768,0.003343181,0.012734231,-2.77940665
AMY2B///AMY2A///AMY1C///AMY1B///AMY1A,280///279///278///277///276,-0.050571303,2.81643148,-9.503615594,6.04E-05,0.001605754,1.759018733
TPT1-AS1,100190939,-0.050655382,2.904281356,-3.341083149,0.014660369,0.033856525,-4.412789554
COX7B,1349,-0.050659491,3.252936238,-3.931425929,0.007094316,0.020600472,-3.6158951
SNORD72///RPL37,619564///6167,-0.050677398,2.908543589,-7.408363221,2.56E-04,0.003357691,0.118869183
ZNF318,24149,-0.050682173,3.120739986,-10.79303823,2.84E-05,0.001005122,2.615628165
LINC00680-GUSBP4///LOC100133050///GUSBP9///GUSBP1///GUSBP3///GUSBP2///SMA5///SMA4///GUSBP3///SMA5///SMA4,106660613///100133050///100049076///728411///653188///387036///11042///11039///653188///11042///11039,-0.050697398,3.162506778,-5.930939247,8.83E-04,0.006166588,-1.282346551
ORC3,23595,-0.050706303,3.175341041,-7.142440632,3.15E-04,0.003718009,-0.116286821
UBR7,55148,-0.050720404,3.308116327,-8.160291786,1.47E-04,0.002577346,0.748327156
ZSWIM1,90204,-0.050754893,3.286967455,-9.13757318,7.61E-05,0.001839315,1.496690212
RPSAP15,220885,-0.050764433,2.938643806,-4.745630668,0.002842036,0.011472546,-2.597787889
DHX35,60625,-0.05077442,3.068611865,-9.402055251,6.44E-05,0.001670483,1.687148737
CCL7,6354,-0.050819207,3.231192363,-5.415204278,0.001436479,0.007889812,-1.831577434
MCM8,84515,-0.050830195,3.11900827,-5.957406283,8.62E-04,0.006066597,-1.255067603
IPO8,10526,-0.050838473,3.266079627,-5.479796475,0.001349119,0.007586958,-1.760903055
CDK5RAP1,51654,-0.050866926,2.911254186,-6.508372833,5.30E-04,0.004771481,-0.706161813
HERC2P4///HERC2P9///HERC2P2///HERC2P3///HERC2,100289574///440248///400322///283755///8924,-0.050879828,3.132030002,-5.76836637,0.001025692,0.006617407,-1.451813617
RFC1,5981,-0.050886918,3.230609748,-6.477442334,5.45E-04,0.004843746,-0.736046902
ZNF148,7707,-0.050920512,3.289417634,-6.65920801,4.67E-04,0.004494438,-0.561946621
ZNF320,162967,-0.050928057,2.925773093,-5.983163295,8.42E-04,0.005997839,-1.228602971
PRUNE1,58497,-0.050947596,2.981434921,-5.825217113,9.73E-04,0.006429869,-1.392176436
RRP36,88745,-0.050996199,3.090201602,-6.447357432,5.59E-04,0.004908757,-0.76521813
CTDSPL,10217,-0.051056432,3.068540002,-8.980868247,8.43E-05,0.001914641,1.381530639
MRPL48,51642,-0.051079626,3.074244874,-5.497679713,0.001326007,0.007520183,-1.741433432
ZNF577,84765,-0.051091143,2.791233645,-4.917093075,0.002372789,0.01031378,-2.395613658
HMGCL,3155,-0.051094976,3.21197619,-7.092465278,3.28E-04,0.003784457,-0.161259256
INPP5B,3633,-0.051102183,3.174215456,-8.213218684,1.42E-04,0.002532908,0.790780655
GABPA,2551,-0.051113072,3.189941466,-7.331491816,2.72E-04,0.003439156,0.051598675
KIAA0232,9778,-0.051114502,3.192677787,-10.24023925,3.88E-05,0.00121966,2.260504494
NANP,140838,-0.051141259,3.050989095,-4.878468429,0.002470356,0.010541648,-2.440791583
FAM122B,159090,-0.051148877,2.998971918,-6.908330449,3.80E-04,0.004062752,-0.329152158
KIAA1551,55196,-0.051201511,3.241818853,-8.509178236,1.15E-04,0.002259678,1.023965895
VIT,5212,-0.051203374,2.848210775,-7.084280448,3.30E-04,0.003786397,-0.168648669
FAM214A,56204,-0.051214396,3.113671252,-5.723712933,0.001069431,0.006747516,-1.498941984
RASSF2,9770,-0.051219286,3.380934874,-6.788888908,4.19E-04,0.004280707,-0.43994042
LTV1,84946,-0.051227784,3.234190333,-6.525706643,5.23E-04,0.004739668,-0.689460665
ABCA11P///ZNF141,79963///7700,-0.051230238,3.131808533,-5.015474625,0.002143295,0.009749856,-2.281491077
HPRT1,3251,-0.051243855,3.132202377,-6.013170034,8.19E-04,0.005915456,-1.197874048
TMEM68,137695,-0.051255508,2.909221613,-5.287235645,0.001629135,0.008393227,-1.973241689
PEX12,5193,-0.051266639,3.006063924,-6.679446098,4.59E-04,0.004457344,-0.542786709
ZNF852,285346,-0.05130005,2.805184795,-4.417344866,0.004061739,0.014440688,-2.996682191
KPNA5,3841,-0.051332803,2.880117587,-3.479369839,0.012309327,0.029855266,-4.222011752
SNORA70///RPL10,26778///6134,-0.051397813,3.328256513,-4.953340228,0.002285159,0.010086461,-2.353408468
TRUB1,142940,-0.051465747,3.190588964,-6.807065212,4.13E-04,0.004240312,-0.422983783
HIKESHI,51501,-0.051480089,3.151889516,-4.946778368,0.002300749,0.010115714,-2.361035177
RBPJ,3516,-0.051513099,2.903736762,-3.673934237,0.009673066,0.025288952,-3.957730214
LSM8,51691,-0.051514717,2.909385666,-6.004514423,8.26E-04,0.005942195,-1.20672672
CFL2,1073,-0.051534225,2.882911053,-4.839639541,0.002573014,0.010825847,-2.486421782
CHAMP1,283489,-0.05154041,3.120596469,-6.617940932,4.83E-04,0.00457673,-0.601153575
MIGA1,374986,-0.051545693,3.107622615,-8.289768852,1.34E-04,0.002460607,0.851773605
PDCD10,11235,-0.051548003,3.132276388,-6.280318343,6.46E-04,0.005286641,-0.929059114
ELP4,26610,-0.051574786,3.192232303,-8.972155962,8.47E-05,0.001917725,1.375076398
DNAJC19,131118,-0.051652769,3.080854586,-5.888616002,9.18E-04,0.006281236,-1.326147624
ZNF717,100131827,-0.051686923,3.02560634,-6.154875405,7.21E-04,0.005587966,-1.054228222
PMS2P1,5379,-0.051699484,3.170552972,-7.869688336,1.81E-04,0.00289357,0.511005543
CCNE1,898,-0.051704449,2.912475137,-7.852795989,1.84E-04,0.002901539,0.496985906
ECT2,1894,-0.051704742,3.042451268,-5.042194495,0.002085363,0.009613711,-2.250730553
DHX29,54505,-0.051737147,3.328353169,-7.857166742,1.83E-04,0.002900038,0.500615777
STX6,10228,-0.051745703,3.183780996,-6.340784114,6.13E-04,0.005143911,-0.869381218
TPK1,27010,-0.051745707,3.01879756,-5.844863169,9.55E-04,0.006398233,-1.371661803
SLC26A2,1836,-0.051773861,3.1485081,-6.29327805,6.39E-04,0.005244926,-0.916232633
GTF2I,2969,-0.051784776,3.397635349,-7.613983208,2.19E-04,0.003152122,0.296060111
NUP133,55746,-0.05179627,3.153195072,-7.542705856,2.31E-04,0.003208178,0.235084939
FKBP3,2287,-0.051826802,2.906188772,-8.020445017,1.63E-04,0.002744831,0.635023317
RP9,6100,-0.051834716,2.948850215,-3.601732501,0.010570943,0.026809935,-4.055220177
POLD3,10714,-0.051850049,3.097693921,-6.133177049,7.35E-04,0.005636205,-1.076067686
LINC00268,441426,-0.051898959,2.797433229,-4.307458125,0.00459347,0.015630442,-3.133705518
LINC00268,441426,-0.051898959,2.797433229,-4.307458125,0.00459347,0.015630442,-3.133705518
HIST1H2BF,8343,-0.05191182,2.985980574,-3.060106603,0.021094005,0.044045393,-4.807162897
WBP1L,54838,-0.051919802,3.225334345,-11.66280873,1.79E-05,7.51E-04,3.141447241
ZNF461,92283,-0.051946251,2.776632935,-3.3038214,0.015374887,0.035007852,-4.464589693
FCF1,51077,-0.051947519,3.258215175,-8.66773458,1.04E-04,0.002120744,1.146039587
PHTF1,10745,-0.051965034,3.022914009,-6.151944352,7.23E-04,0.005593816,-1.057175066
S100PBP,64766,-0.051979969,3.006375042,-6.738219479,4.37E-04,0.004386523,-0.487395831
SPA17,53340,-0.052008194,2.892183493,-3.989543044,0.006624118,0.019642203,-3.540035577
ALS2,57679,-0.05203792,2.792710657,-5.285964144,0.001631191,0.008393227,-1.974660341
ST7L,54879,-0.052087111,2.830303868,-3.629419322,0.010216223,0.026199718,-4.017753498
SYNC,81493,-0.052090182,2.990919399,-3.902187419,0.007344778,0.021094593,-3.654242121
GCSHP3///LOC729080///LOC641746///GCSH,100329109///729080///641746///2653,-0.05210002,3.122036687,-6.917111572,3.78E-04,0.004047353,-0.321066263
YEATS4,8089,-0.052103309,3.203955597,-6.736802357,4.38E-04,0.00438906,-0.488727016
TMEM144,55314,-0.05217146,3.221536081,-8.128474963,1.51E-04,0.00261961,0.722694027
BBS2,583,-0.052186381,3.120069314,-5.5680947,0.001239263,0.007264896,-1.665180321
C2orf76,130355,-0.052206184,2.950149632,-7.888122129,1.79E-04,0.002883106,0.526275892
LIAS,11019,-0.052218196,3.073044551,-5.706739338,0.00108661,0.006811771,-1.516922831
SMC4,10051,-0.052279176,3.125984389,-5.17727958,0.001818232,0.008896952,-2.096736536
GOLGA1,2800,-0.05230739,3.014279571,-8.308548163,1.33E-04,0.00243652,0.866663152
TRAT1,50852,-0.052312284,2.830479501,-2.483449981,0.045992345,0.079411851,-5.636074086
CCDC121,79635,-0.052353198,2.793955698,-3.26821056,0.016093363,0.036173491,-4.514245004
CSTF2,1478,-0.052359513,3.017510918,-6.05317819,7.90E-04,0.005834564,-1.157073173
MTO1,25821,-0.05242447,3.154218675,-8.421418019,1.23E-04,0.002316019,0.955553471
SLF2,55719,-0.052455587,3.152886498,-6.597829937,4.92E-04,0.004605508,-0.620328206
DAAM1,23002,-0.052496236,2.840738252,-6.422643382,5.71E-04,0.004974218,-0.789258101
BTBD8,284697,-0.05250916,2.805663519,-3.713618912,0.009215599,0.024504487,-3.904446578
LOC646938///TBC1D2B,646938///23102,-0.052530917,3.27915274,-4.942508432,0.002310958,0.010139388,-2.366001292
INTS4,92105,-0.052568084,3.158367144,-5.542397311,0.001270152,0.007349858,-1.692933063
VWA5A,4013,-0.052610686,3.158700592,-5.768704069,0.001025369,0.006617407,-1.451458163
TBCCD1,55171,-0.052634494,3.088316493,-10.95317081,2.60E-05,9.42E-04,2.71535139
POLR3F,10621,-0.052636068,3.05863391,-5.014061623,0.002146409,0.009758672,-2.283120537
WDR91,29062,-0.052658921,3.145493813,-10.15702895,4.08E-05,0.001271922,2.205528738
ORC2,4999,-0.052664722,3.02879414,-4.866000523,0.002502808,0.010615467,-2.455420025
ATAD2,29028,-0.052697288,2.897989073,-6.077290114,7.73E-04,0.005763099,-1.13257694
SNORD116-9///SNORD116-8///SNORD116-6///SNORD116-3,100033421///100033420///100033418///100033415,-0.052699459,2.841848304,-2.664758593,0.035844505,0.065422669,-5.37377606
GCSHP3///LOC729080///LOC641746///GCSH,100329109///729080///641746///2653,-0.052747873,3.128079914,-6.366318011,5.99E-04,0.005100548,-0.844306626
PTAFR,5724,-0.052787362,3.1252398,-9.928271508,4.67E-05,0.001381576,2.052246534
THUMPD1,55623,-0.052842839,3.192377356,-10.05174574,4.34E-05,0.001333266,2.135377012
SNORD52,26797,-0.052915567,2.905835555,-5.506693692,0.001314528,0.007488623,-1.731635809
LOC100134822///LINC00266-1///PCMTD2,100134822///140849///55251,-0.052954033,3.050663052,-3.206126284,0.017434947,0.038253135,-4.601155088
LOC100134822///LINC00266-1///PCMTD2,100134822///140849///55251,-0.052954033,3.050663052,-3.206126284,0.017434947,0.038253135,-4.601155088
DHRS4L1///DHRS4L2///DHRS4,728635///317749///10901,-0.052956601,3.167784787,-8.956627419,8.56E-05,0.001932073,1.363558877
TAMM41,132001,-0.053033306,3.128527959,-5.866197099,9.37E-04,0.006347259,-1.34943927
PHF6,84295,-0.053051001,3.187523485,-6.340525747,6.13E-04,0.005143911,-0.86963532
MTHFR,4524,-0.05306842,3.149407006,-9.561760985,5.83E-05,0.001575548,1.799857029
